lan,lac,year,s,ss,emissions
Barnsley,E08000016,2017,Industry,Industry Gas,146.628398
Barnsley,E08000016,2017,Industry,Large Industrial Installations,49.36114242
Barnsley,E08000016,2017,Industry,Industry 'Other Fuels',92.79359321
Barnsley,E08000016,2017,Industry,Agriculture,6.572322376
Barnsley,E08000016,2017,LULUCF,LULUCF Net Emissions: Forest land,-17.28005454
Barnsley,E08000016,2017,LULUCF,LULUCF Net Emissions: Cropland,6.887928223
Barnsley,E08000016,2017,LULUCF,LULUCF Net Emissions: Grassland,-9.546049258
Barnsley,E08000016,2017,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2017,LULUCF,LULUCF Net Emissions: Settlements,5.376044342
Barnsley,E08000016,2017,Public Sector,Public Sector Electricity,11.74063914
Barnsley,E08000016,2017,Public Sector,Public Sector Gas,18.00232192
Barnsley,E08000016,2017,Public Sector,Public Sector 'Other Fuels',0.118140566
Barnsley,E08000016,2017,Transport,Road Transport (A roads),152.2429931
Barnsley,E08000016,2017,Transport,Road Transport (Motorways),144.8959993
Barnsley,E08000016,2017,Transport,Road Transport (Minor roads),175.8035253
Barnsley,E08000016,2017,Transport,Diesel Railways,5.033926571
Barnsley,E08000016,2017,Transport,Transport Other,2.343414892
Barnsley,E08000016,2018,Commercial,Commercial Electricity,45.09806691
Barnsley,E08000016,2018,Commercial,Commercial Gas,32.39314646
Barnsley,E08000016,2018,Commercial,Commercial 'Other Fuels',0.704546484
Barnsley,E08000016,2018,Domestic,Domestic Electricity,81.58881614
Barnsley,E08000016,2018,Domestic,Domestic Gas,262.3616073
Barnsley,E08000016,2018,Domestic,Domestic 'Other Fuels',80.46701522
Barnsley,E08000016,2018,Industry,Industry Electricity,78.94949988
Barnsley,E08000016,2018,Industry,Industry Gas,156.3396598
Barnsley,E08000016,2018,Industry,Large Industrial Installations,48.23596275
Barnsley,E08000016,2018,Industry,Industry 'Other Fuels',85.18762942
Barnsley,E08000016,2018,Industry,Agriculture,6.469817722
Barnsley,E08000016,2018,LULUCF,LULUCF Net Emissions: Forest land,-17.29802599
Barnsley,E08000016,2018,LULUCF,LULUCF Net Emissions: Cropland,6.659351568
Barnsley,E08000016,2018,LULUCF,LULUCF Net Emissions: Grassland,-9.667143292
Barnsley,E08000016,2018,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2018,LULUCF,LULUCF Net Emissions: Settlements,5.332192743
Barnsley,E08000016,2018,Public Sector,Public Sector Electricity,10.45930579
